2020-06-22 08:53:09.293 MSK [476] ���������:  ������� �� ���� ���������: 2020-06-21 12:03:26 MSK
2020-06-22 09:45:00.644 MSK [3848] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:45:00.645 MSK [5524] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:45:00.647 MSK [232] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:45:00.647 MSK [6024] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:45:00.647 MSK [5164] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.572 MSK [1392] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.572 MSK [4556] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.574 MSK [3284] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.574 MSK [4220] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.577 MSK [7100] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.579 MSK [5504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.579 MSK [1904] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.581 MSK [6692] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.583 MSK [6044] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:47:15.583 MSK [4112] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.463 MSK [4200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.466 MSK [6620] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.468 MSK [4508] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.469 MSK [3652] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.473 MSK [2884] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.475 MSK [3948] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.475 MSK [3200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.477 MSK [3504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.480 MSK [2020] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:50:12.480 MSK [5016] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.459 MSK [2736] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.461 MSK [5756] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.464 MSK [3656] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.469 MSK [4488] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.470 MSK [3832] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.473 MSK [3660] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.478 MSK [2532] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.478 MSK [5496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.478 MSK [2996] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 09:54:25.482 MSK [4556] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.460 MSK [7092] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.460 MSK [5360] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.462 MSK [2628] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.463 MSK [988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.464 MSK [4764] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.466 MSK [1392] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.467 MSK [6276] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.469 MSK [4940] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.470 MSK [3848] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:11:59.471 MSK [6096] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.875 MSK [4232] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.875 MSK [2044] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.878 MSK [2340] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.879 MSK [1828] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.881 MSK [5288] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.883 MSK [7036] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.883 MSK [6572] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.885 MSK [6716] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.886 MSK [3360] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:18:56.887 MSK [1124] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.359 MSK [4992] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.360 MSK [5080] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.364 MSK [6040] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.364 MSK [3500] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.368 MSK [2948] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.368 MSK [4976] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.373 MSK [6964] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.373 MSK [4608] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.374 MSK [2836] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 10:52:07.380 MSK [4428] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.802 MSK [6532] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.803 MSK [6032] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.806 MSK [3880] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.806 MSK [5424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.808 MSK [2484] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.810 MSK [6156] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.810 MSK [6780] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.812 MSK [6204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.813 MSK [6764] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:11:42.814 MSK [6836] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.015 MSK [4224] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.015 MSK [3184] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.016 MSK [2724] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.021 MSK [700] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.021 MSK [6420] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.023 MSK [6980] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.024 MSK [6208] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.027 MSK [7068] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.030 MSK [408] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:32:27.031 MSK [6784] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:48:52.774 MSK [608] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 11:48:52.774 MSK [608] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 11:48:52.774 MSK [608] ОПЕРАТОР:  INSERT INTO TEST_CONSUMER (ID, APARTMENT_NUM, CREATE_TS, CREATED_BY, DELETE_TS, DELETED_BY, HOUSE_NUM, STREET_NAME, UPDATE_TS, UPDATED_BY, VERSION, METER_ID) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12)
2020-06-22 11:48:52.795 MSK [608] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 11:48:52.795 MSK [608] ОПЕРАТОР:  SELECT 1
2020-06-22 11:49:23.886 MSK [608] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 11:49:23.886 MSK [608] ПОДРОБНОСТИ:  Ключ "(meter_id)=(3e40afd8-5ce2-de3d-f6c0-8a118c8007c8)" уже существует.
2020-06-22 11:49:23.886 MSK [608] ОПЕРАТОР:  UPDATE TEST_CONSUMER SET METER_ID = $1, UPDATED_BY = $2, UPDATE_TS = $3, VERSION = $4 WHERE ((ID = $5) AND (VERSION = $6))
2020-06-22 11:49:23.886 MSK [608] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 11:49:23.886 MSK [608] ОПЕРАТОР:  SELECT 1
2020-06-22 11:50:08.351 MSK [608] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 11:50:08.351 MSK [608] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 11:50:08.351 MSK [608] ОПЕРАТОР:  UPDATE TEST_CONSUMER SET METER_ID = $1, UPDATED_BY = $2, UPDATE_TS = $3, VERSION = $4 WHERE ((ID = $5) AND (VERSION = $6))
2020-06-22 11:50:08.352 MSK [608] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 11:50:08.352 MSK [608] ОПЕРАТОР:  SELECT 1
2020-06-22 11:58:06.320 MSK [608] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.322 MSK [2504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.326 MSK [1108] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.327 MSK [4112] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.329 MSK [6904] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.331 MSK [1884] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.331 MSK [2196] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.334 MSK [4500] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.334 MSK [6376] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:58:06.335 MSK [344] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.736 MSK [5208] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.736 MSK [4400] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.737 MSK [6712] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.739 MSK [1496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.740 MSK [4636] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.742 MSK [5456] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.748 MSK [3928] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.749 MSK [220] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.753 MSK [7088] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 11:59:22.753 MSK [4236] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.639 MSK [1280] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.641 MSK [5492] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.641 MSK [3948] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.641 MSK [3288] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.643 MSK [3428] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.646 MSK [1032] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.646 MSK [1784] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.651 MSK [6204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.652 MSK [6956] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:01:43.652 MSK [1436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.489 MSK [4464] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.490 MSK [4292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.491 MSK [5524] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.493 MSK [4456] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.496 MSK [2256] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.496 MSK [6360] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.497 MSK [2504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.502 MSK [5500] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.502 MSK [6292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:02:08.507 MSK [6240] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.932 MSK [6896] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.934 MSK [1428] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.936 MSK [6436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.937 MSK [728] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.937 MSK [5368] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.940 MSK [3980] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.941 MSK [540] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.942 MSK [4804] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.943 MSK [6664] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:05:00.944 MSK [3652] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.382 MSK [6204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.382 MSK [2288] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.387 MSK [1480] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.390 MSK [3824] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.392 MSK [3220] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.396 MSK [5440] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.401 MSK [3696] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.408 MSK [1244] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.414 MSK [1324] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:06:46.420 MSK [244] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:07:59.789 MSK [4688] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "idx_test_consumer_uk_meter_id"
2020-06-22 12:07:59.789 MSK [4688] ПОДРОБНОСТИ:  Ключ "(meter_id)=(dda9852b-3759-4359-045c-8a74239dbbe6)" уже существует.
2020-06-22 12:07:59.789 MSK [4688] ОПЕРАТОР:  UPDATE TEST_CONSUMER SET METER_ID = $1, UPDATED_BY = $2, UPDATE_TS = $3, VERSION = $4 WHERE ((ID = $5) AND (VERSION = $6))
2020-06-22 12:07:59.797 MSK [4688] ОШИБКА:  текущая транзакция прервана, команды до конца блока транзакции игнорируются
2020-06-22 12:07:59.797 MSK [4688] ОПЕРАТОР:  SELECT 1
2020-06-22 12:08:29.239 MSK [4688] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.243 MSK [216] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.245 MSK [3820] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.246 MSK [5212] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.247 MSK [1880] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.249 MSK [2080] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.249 MSK [5952] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.250 MSK [80] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.251 MSK [1176] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:08:29.253 MSK [3768] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.634 MSK [6292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.636 MSK [6356] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.638 MSK [236] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.640 MSK [6000] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-06-22 12:11:58.642 MSK [5428] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
